method_id,method,CC,PC,LOC,NCMIC,NCMEC,NECA,NAMFAEC
240,org_apache_kafka_streams_kstream_internals_CogroupedKStreamImplTest_assertOutputKeyValueTimestamp,1,4,3,0,4,2,2
241,org_apache_kafka_streams_state_WindowStore_fetch,1,3,3,2,4,1,4
242,org_apache_kafka_message_SchemaGenerator_generateSchemas,7,3,27,3,17,7,4
243,org_apache_kafka_streams_kstream_internals_UnlimitedWindow_UnlimitedWindow,1,1,8,0,1,1,1
244,org_apache_kafka_streams_state_internals_KeyValueIteratorFacade_KeyValueIteratorFacade,1,1,3,0,0,0,0
245,org_apache_kafka_streams_kstream_internals_SessionWindowedKStreamImpl_count,1,1,7,4,7,5,2
246,org_apache_kafka_streams_kstream_internals_SessionWindowedKStreamImpl_reduce,3,3,15,6,15,5,5
247,org_apache_kafka_streams_state_internals_MeteredSessionStore_fetch,1,1,2,2,6,3,2
248,org_apache_kafka_streams_state_internals_Murmur3_hash32,1,2,32,11,0,0,0
249,org_apache_kafka_streams_state_internals_ReadOnlyWindowStoreFacade_fetch,1,3,3,0,5,4,2
250,org_apache_kafka_streams_state_internals_MeteredWindowStore_put,1,3,2,0,1,1,1
251,org_apache_kafka_streams_integration_MetricsIntegrationTest_checkMetricsDeregistration,1,0,2,0,1,1,1
252,org_apache_kafka_streams_state_StoreBuilder_logConfig,1,0,7,0,0,0,0
253,org_apache_kafka_common_requests_DeleteTopicsRequest_DeleteTopicsRequest,1,2,4,0,1,1,1
254,org_apache_kafka_common_requests_DescribeAclsRequest_normalizeAndValidate,5,1,10,0,1,1,1
255,org_apache_kafka_connect_data_Values_convertToString,1,2,10,1,0,0,0
256,org_apache_kafka_common_requests_DescribeAclsRequest_filter,1,0,5,0,3,3,1
257,org_apache_kafka_common_requests_DescribeAclsRequest_DescribeAclsRequest,1,2,5,1,1,1,1
258,org_apache_kafka_connect_data_Values_escape,1,1,4,0,0,0,0
259,org_apache_kafka_connect_data_Values_convertTo,57,3,195,4,13,8,3
260,org_apache_kafka_connect_data_Values_convertToTimestamp,1,2,11,1,0,0,0
261,org_apache_kafka_trogdor_fault_Kibosh_addFault,1,2,7,1,0,0,0
262,org_apache_kafka_connect_runtime_Worker_recordTaskAdded,3,1,2,0,0,0,0
263,org_apache_kafka_common_metrics_SensorCreator_createSensor,12,2,2,0,0,0,0
264,org_apache_kafka_streams_state_internals_CachingSessionStoreTest_shouldRemove,1,0,2,0,0,0,0
265,org_apache_kafka_connect_util_Table_remove,3,2,7,0,0,0,0
266,org_apache_kafka_clients_admin_Admin_createAcls,1,1,14,1,0,0,0
267,org_apache_kafka_clients_admin_Admin_expireDelegationToken,1,2,18,1,0,0,0
268,org_apache_kafka_clients_admin_Admin_listPartitionReassignments,1,2,6,4,0,0,0
269,org_apache_kafka_clients_admin_ConfigEntry_value,1,0,6,0,0,0,0
270,org_apache_kafka_clients_admin_DeleteRecordsResult_lowWatermarks,1,0,7,0,0,0,0
271,org_apache_kafka_clients_admin_Admin_close,1,1,10,1,0,0,0
272,org_apache_kafka_clients_admin_ListConsumerGroupOffsetsResult_ListConsumerGroupOffsetsResult,1,1,3,0,0,0,0
273,org_apache_kafka_clients_admin_AdminClientUnitTestEnv_AdminClientUnitTestEnv,1,2,2,6,8,7,2
274,org_apache_kafka_clients_admin_PartitionReassignment_addingReplicas,1,0,7,0,0,0,0
275,org_apache_kafka_clients_admin_KafkaAdminClient_handleNotControllerError,1,1,5,1,3,2,2
276,org_apache_kafka_clients_admin_KafkaAdminClientTest_prepareOffsetDeleteResponse,1,3,3,0,2,1,2
277,org_apache_kafka_clients_admin_KafkaAdminClientTest_createAlterLogDirsResponse,1,4,3,0,2,2,1
278,org_apache_kafka_clients_KafkaClient_hasInFlightRequests,1,1,4,0,0,0,0
279,org_apache_kafka_clients_Metadata_updateVersion,1,0,6,0,0,0,0
280,org_apache_kafka_clients_admin_internals_AdminMetadataManager_clearController,2,0,6,0,5,2,4
281,org_apache_kafka_clients_FetchSessionHandler_verifyIncrementalFetchResponsePartitions,2,1,22,1,1,1,1
282,org_apache_kafka_clients_InFlightRequests_isEmpty,1,1,9,0,0,0,0
283,org_apache_kafka_clients_ClusterConnectionStates_authenticationException,1,1,8,0,0,0,0
284,org_apache_kafka_clients_NetworkClient_cancelInFlightRequests,5,3,17,0,4,3,2
285,org_apache_kafka_clients_Metadata_newMetadataRequestBuilderForNewTopics,1,0,8,0,0,0,0
